time,userid,id,lat,lng
Sat Feb 09 17:56:56 +0000 2019,81903111,1094294088508035072,39.99299,-82.92234
Fri Feb 08 17:10:22 +0000 2019,81903111,1093919981064974336,39.99299,-82.92234
Fri Feb 08 00:38:56 +0000 2019,81903111,1093670478181474306,39.99299,-82.92234
Thu Feb 07 22:32:31 +0000 2019,81903111,1093638664238682112,39.99299,-82.92234
Thu Feb 07 19:37:10 +0000 2019,81903111,1093594536478035968,39.99299,-82.92234
Thu Feb 07 19:18:46 +0000 2019,2885253345,1093589908063703041,39.98059,-82.93171
Wed Feb 06 17:53:51 +0000 2019,2885253345,1093206149837479936,39.98059,-82.93171
Wed Feb 06 17:19:47 +0000 2019,81903111,1093197577711833089,39.99299,-82.92234
Mon Feb 04 19:41:11 +0000 2019,2885253345,1092508383985500160,39.98059,-82.93171
Mon Feb 04 12:55:48 +0000 2019,930775286,1092406367250509824,39.98453,-82.91403
Sun Feb 03 14:17:14 +0000 2019,2885253345,1092064472502394883,39.98059,-82.93171
Sun Feb 03 00:45:42 +0000 2019,81903111,1091860244093853698,39.99299,-82.92234
Sat Feb 02 17:28:49 +0000 2019,81903111,1091750299881091072,39.99299,-82.92234
Fri Feb 01 16:29:51 +0000 2019,2885253345,1091373071418773505,39.98059,-82.93171
Sun Feb 10 21:49:00 +0000 2019,124474591,1094714879548801024,39.9847,-83.04
Sun Feb 10 21:04:07 +0000 2019,124474591,1094703583981981697,39.9847,-83.04
Sun Feb 10 20:59:03 +0000 2019,124474591,1094702306149437441,39.9847,-83.04
Sun Feb 10 20:57:35 +0000 2019,25600586,1094701940150292480,39.98325392,-83.04533908
Sun Feb 10 03:53:56 +0000 2019,1170021908,1094444328871739392,39.9847252,-83.0400184
Sun Feb 10 03:51:35 +0000 2019,1170021908,1094443737869139974,39.9847252,-83.0400184
Sun Feb 10 03:02:28 +0000 2019,22135559,1094431376781131777,39.97975,-83.04521
Sat Feb 09 16:39:15 +0000 2019,373994490,1094274539981135872,39.97089,-83.04178
Sat Feb 09 01:37:08 +0000 2019,1170021908,1094047513919791104,39.9847252,-83.0400184
Fri Feb 08 23:01:16 +0000 2019,1170021908,1094008288637796352,39.9847252,-83.0400184
Tue Feb 05 21:31:46 +0000 2019,930775286,1092898601846693890,39.9174,-83.01425
Tue Feb 05 21:26:35 +0000 2019,930775286,1092897299049500673,39.9174,-83.01425
Tue Feb 05 20:26:47 +0000 2019,930775286,1092882249161367552,39.9174,-83.01425
Tue Feb 05 20:07:53 +0000 2019,930775286,1092877490333327360,39.91726,-83.01434
Tue Feb 05 12:36:06 +0000 2019,930775286,1092763799181029376,39.91726,-83.01434
